GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2018,2019,2020,2021,2022
 "50000","Vermont",1,SAGDP11N,42,"486","   Pipeline transportation ","Percentage points",0.00,0.00,0.00,0.00,0.00
 "50000","Vermont",1,SAGDP11N,43,"487-488,492","   Other transportation and support activities ","Percentage points",0.02,-0.01,0.05,-0.01,0.01
 "50000","Vermont",1,SAGDP11N,44,"493","   Warehousing and storage ","Percentage points",0.00,0.02,-0.02,0.01,-0.03
 "50000","Vermont",1,SAGDP11N,45,"51","  Information ","Percentage points",-0.08,0.29,-0.02,0.30,0.23
 "50000","Vermont",1,SAGDP11N,46,"511","   Publishing industries (except Internet) ","Percentage points",-0.04,0.04,-0.03,0.03,0.09
 "50000","Vermont",1,SAGDP11N,47,"512","   Motion picture and sound recording industries ","Percentage points",0.00,0.01,-0.01,0.02,0.01
 "50000","Vermont",1,SAGDP11N,48,"515,517","   Broadcasting (except Internet) and telecommunications ","Percentage points",-0.10,0.12,0.00,0.09,0.02
 "50000","Vermont",1,SAGDP11N,49,"518-519","   Data processing, hosting, and other information services ","Percentage points",0.06,0.12,0.02,0.16,0.11
 "50000","Vermont",1,SAGDP11N,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Percentage points",-0.86,0.10,-0.22,0.62,0.39
 "50000","Vermont",1,SAGDP11N,51,"52","   Finance and insurance ","Percentage points",-0.13,0.18,-0.49,-0.01,0.16
 "50000","Vermont",1,SAGDP11N,52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services ","Percentage points",-0.09,-0.08,0.06,-0.07,-0.06
 "50000","Vermont",1,SAGDP11N,53,"523","    Securities, commodity contracts, and other financial investments and related activities ","Percentage points",0.04,-0.02,0.02,-0.03,0.09
 "50000","Vermont",1,SAGDP11N,54,"524","    Insurance carriers and related activities ","Percentage points",-0.08,0.28,-0.57,0.06,0.15
 "50000","Vermont",1,SAGDP11N,55,"525","    Funds, trusts, and other financial vehicles ","Percentage points",-0.01,0.00,0.00,0.04,-0.02
 "50000","Vermont",1,SAGDP11N,56,"53","   Real estate and rental and leasing ","Percentage points",-0.73,-0.08,0.26,0.63,0.23
 "50000","Vermont",1,SAGDP11N,57,"531","    Real estate ","Percentage points",-0.74,-0.07,0.29,0.61,0.15
 "50000","Vermont",1,SAGDP11N,58,"532-533","    Rental and leasing services and lessors of nonfinancial intangible assets ","Percentage points",0.01,-0.01,-0.02,0.02,0.08
 "50000","Vermont",1,SAGDP11N,59,"54,55,56","  Professional and business services ","Percentage points",0.49,0.51,0.13,1.90,1.19
 "50000","Vermont",1,SAGDP11N,60,"54","   Professional, scientific, and technical services ","Percentage points",0.34,0.28,0.20,1.35,0.73
 "50000","Vermont",1,SAGDP11N,61,"5411","    Legal services ","Percentage points",-0.02,-0.02,-0.03,0.15,0.01
 "50000","Vermont",1,SAGDP11N,62,"5415","    Computer systems design and related services ","Percentage points",0.17,0.21,0.13,0.19,0.25
 "50000","Vermont",1,SAGDP11N,63,"5412-5414,5416-5419","    Miscellaneous professional, scientific, and technical services ","Percentage points",0.18,0.10,0.10,1.02,0.47
 "50000","Vermont",1,SAGDP11N,64,"55","   Management of companies and enterprises ","Percentage points",0.01,0.13,0.01,0.10,0.04
 "50000","Vermont",1,SAGDP11N,65,"56","   Administrative and support and waste management and remediation services ","Percentage points",0.14,0.09,-0.08,0.44,0.42
 "50000","Vermont",1,SAGDP11N,66,"561","    Administrative and support services ","Percentage points",0.14,0.05,-0.10,0.37,0.39
 "50000","Vermont",1,SAGDP11N,67,"562","    Waste management and remediation services ","Percentage points",0.00,0.04,0.02,0.07,0.02
 "50000","Vermont",1,SAGDP11N,68,"61,62","  Educational services, health care, and social assistance ","Percentage points",0.32,0.10,-0.49,0.06,0.37
 "50000","Vermont",1,SAGDP11N,69,"61","   Educational services ","Percentage points",-0.01,-0.10,-0.33,-0.12,0.11
 "50000","Vermont",1,SAGDP11N,70,"62","   Health care and social assistance ","Percentage points",0.33,0.20,-0.16,0.17,0.26
 "50000","Vermont",1,SAGDP11N,71,"621","    Ambulatory health care services ","Percentage points",0.17,0.17,-0.24,0.27,0.16
 "50000","Vermont",1,SAGDP11N,72,"622","    Hospitals ","Percentage points",0.16,0.04,0.05,0.00,0.00
 "50000","Vermont",1,SAGDP11N,73,"623","    Nursing and residential care facilities ","Percentage points",-0.01,-0.04,0.05,-0.13,0.05
 "50000","Vermont",1,SAGDP11N,74,"624","    Social assistance ","Percentage points",0.01,0.03,-0.03,0.03,0.06
 "50000","Vermont",1,SAGDP11N,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Percentage points",0.26,0.07,-1.48,1.47,0.77
 "50000","Vermont",1,SAGDP11N,76,"71","   Arts, entertainment, and recreation ","Percentage points",0.06,-0.02,-0.24,0.33,0.31
 "50000","Vermont",1,SAGDP11N,77,"711-712","    Performing arts, spectator sports, museums, and related activities ","Percentage points",0.04,-0.02,-0.16,0.19,0.28
 "50000","Vermont",1,SAGDP11N,78,"713","    Amusement, gambling, and recreation industries ","Percentage points",0.01,-0.01,-0.08,0.14,0.03
 "50000","Vermont",1,SAGDP11N,79,"72","   Accommodation and food services ","Percentage points",0.20,0.09,-1.24,1.14,0.46
 "50000","Vermont",1,SAGDP11N,80,"721","    Accommodation ","Percentage points",0.13,-0.03,-0.59,0.60,0.44
 "50000","Vermont",1,SAGDP11N,81,"722","    Food services and drinking places ","Percentage points",0.07,0.12,-0.65,0.54,0.02
 "50000","Vermont",1,SAGDP11N,82,"81","  Other services (except government and government enterprises) ","Percentage points",0.14,-0.02,-0.23,0.12,0.02
 "50000","Vermont",1,SAGDP11N,83,"92"," Government and government enterprises ","Percentage points",0.02,0.07,-0.04,0.10,0.19
 "50000","Vermont",1,SAGDP11N,84,"...","  Federal civilian ","Percentage points",0.08,0.01,0.06,-0.11,0.00
 "50000","Vermont",1,SAGDP11N,85,"...","  Military ","Percentage points",-0.03,0.01,0.00,-0.01,-0.05
 "50000","Vermont",1,SAGDP11N,86,"...","  State and local ","Percentage points",-0.03,0.05,-0.11,0.22,0.24
 "50000","Vermont",1,SAGDP11N,87,"11,21","Natural resources and mining ","Percentage points",-0.28,0.18,-0.04,-0.16,0.22
 "50000","Vermont",1,SAGDP11N,88,"42,44-45","Trade ","Percentage points",0.29,0.16,-0.13,-0.37,-0.53
 "50000","Vermont",1,SAGDP11N,89,"22,48-49","Transportation and utilities ","Percentage points",0.08,-0.07,0.14,0.02,-0.16
 "50000","Vermont",1,SAGDP11N,90,"31-33,51","Manufacturing and information ","Percentage points",0.37,0.11,-0.13,0.84,0.02
 "50000","Vermont",1,SAGDP11N,91,"...","Private goods-producing industries 2/","Percentage points",0.08,-0.06,-0.36,0.58,-0.28
 "50000","Vermont",1,SAGDP11N,92,"...","Private services-providing industries 3/","Percentage points",0.63,1.14,-2.31,4.13,2.29
"Note: See the included footnote file."
"SAGDP11N: Contributions to percent change in real GDP 1/"
"Last updated: September 29, 2023-- revised statistics for 2017-2022."
"U.S. Bureau of Economic Analysis"
