GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2018,2019,2020,2021,2022
 "41000","Oregon",8,SAGDP11N,37,"481","   Air transportation ","Percentage points",0.03,-0.01,-0.34,0.22,0.09
 "41000","Oregon",8,SAGDP11N,38,"482","   Rail transportation ","Percentage points",0.00,-0.02,-0.02,0.02,0.01
 "41000","Oregon",8,SAGDP11N,39,"483","   Water transportation ","Percentage points",0.00,-0.01,0.00,0.00,0.00
 "41000","Oregon",8,SAGDP11N,40,"484","   Truck transportation ","Percentage points",-0.04,-0.01,0.00,0.07,-0.13
 "41000","Oregon",8,SAGDP11N,41,"485","   Transit and ground passenger transportation ","Percentage points",0.02,0.01,-0.06,0.02,0.05
 "41000","Oregon",8,SAGDP11N,42,"486","   Pipeline transportation ","Percentage points",0.00,0.00,0.00,0.00,0.00
 "41000","Oregon",8,SAGDP11N,43,"487-488,492","   Other transportation and support activities ","Percentage points",0.01,0.00,0.12,0.03,-0.01
 "41000","Oregon",8,SAGDP11N,44,"493","   Warehousing and storage ","Percentage points",0.04,0.07,0.09,0.03,-0.05
 "41000","Oregon",8,SAGDP11N,45,"51","  Information ","Percentage points",0.23,0.32,0.23,0.72,0.50
 "41000","Oregon",8,SAGDP11N,46,"511","   Publishing industries (except Internet) ","Percentage points",0.12,0.17,0.10,0.32,0.15
 "41000","Oregon",8,SAGDP11N,47,"512","   Motion picture and sound recording industries ","Percentage points",-0.01,0.00,-0.02,0.02,0.01
 "41000","Oregon",8,SAGDP11N,48,"515,517","   Broadcasting (except Internet) and telecommunications ","Percentage points",0.00,-0.01,-0.01,0.05,0.06
 "41000","Oregon",8,SAGDP11N,49,"518-519","   Data processing, hosting, and other information services ","Percentage points",0.11,0.17,0.17,0.33,0.28
 "41000","Oregon",8,SAGDP11N,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Percentage points",0.66,0.31,0.04,0.77,-0.21
 "41000","Oregon",8,SAGDP11N,51,"52","   Finance and insurance ","Percentage points",0.01,0.06,0.13,0.18,-0.28
 "41000","Oregon",8,SAGDP11N,52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services ","Percentage points",-0.08,0.03,-0.06,0.13,-0.38
 "41000","Oregon",8,SAGDP11N,53,"523","    Securities, commodity contracts, and other financial investments and related activities ","Percentage points",0.03,-0.03,0.02,-0.02,0.08
 "41000","Oregon",8,SAGDP11N,54,"524","    Insurance carriers and related activities ","Percentage points",0.06,0.07,0.16,0.04,0.03
 "41000","Oregon",8,SAGDP11N,55,"525","    Funds, trusts, and other financial vehicles ","Percentage points",0.00,0.00,0.00,0.04,-0.02
 "41000","Oregon",8,SAGDP11N,56,"53","   Real estate and rental and leasing ","Percentage points",0.65,0.24,-0.09,0.59,0.07
 "41000","Oregon",8,SAGDP11N,57,"531","    Real estate ","Percentage points",0.55,0.39,-0.03,0.69,0.06
 "41000","Oregon",8,SAGDP11N,58,"532-533","    Rental and leasing services and lessors of nonfinancial intangible assets ","Percentage points",0.10,-0.15,-0.06,-0.09,0.01
 "41000","Oregon",8,SAGDP11N,59,"54,55,56","  Professional and business services ","Percentage points",0.88,0.70,0.11,1.61,0.43
 "41000","Oregon",8,SAGDP11N,60,"54","   Professional, scientific, and technical services ","Percentage points",0.54,0.29,-0.13,0.68,0.42
 "41000","Oregon",8,SAGDP11N,61,"5411","    Legal services ","Percentage points",0.02,0.01,-0.03,0.01,-0.03
 "41000","Oregon",8,SAGDP11N,62,"5415","    Computer systems design and related services ","Percentage points",0.19,0.08,-0.04,0.11,0.12
 "41000","Oregon",8,SAGDP11N,63,"5412-5414,5416-5419","    Miscellaneous professional, scientific, and technical services ","Percentage points",0.33,0.20,-0.06,0.56,0.33
 "41000","Oregon",8,SAGDP11N,64,"55","   Management of companies and enterprises ","Percentage points",0.19,0.33,0.32,0.63,-0.29
 "41000","Oregon",8,SAGDP11N,65,"56","   Administrative and support and waste management and remediation services ","Percentage points",0.15,0.08,-0.08,0.30,0.30
 "41000","Oregon",8,SAGDP11N,66,"561","    Administrative and support services ","Percentage points",0.15,0.10,-0.07,0.29,0.29
 "41000","Oregon",8,SAGDP11N,67,"562","    Waste management and remediation services ","Percentage points",0.01,-0.02,-0.01,0.01,0.01
