GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2018,2019,2020,2021,2022
 "48000","Texas",6,SAGDP11N,63,"5412-5414,5416-5419","    Miscellaneous professional, scientific, and technical services ","Percentage points",0.21,0.34,-0.26,0.54,0.44
 "48000","Texas",6,SAGDP11N,64,"55","   Management of companies and enterprises ","Percentage points",0.17,0.12,-0.02,0.24,0.28
 "48000","Texas",6,SAGDP11N,65,"56","   Administrative and support and waste management and remediation services ","Percentage points",0.19,0.06,-0.07,0.48,0.20
 "48000","Texas",6,SAGDP11N,66,"561","    Administrative and support services ","Percentage points",0.19,0.06,-0.06,0.47,0.18
 "48000","Texas",6,SAGDP11N,67,"562","    Waste management and remediation services ","Percentage points",0.01,0.00,-0.01,0.01,0.02
 "48000","Texas",6,SAGDP11N,68,"61,62","  Educational services, health care, and social assistance ","Percentage points",0.17,0.25,-0.28,0.44,0.36
 "48000","Texas",6,SAGDP11N,69,"61","   Educational services ","Percentage points",0.02,0.04,-0.06,0.05,0.05
 "48000","Texas",6,SAGDP11N,70,"62","   Health care and social assistance ","Percentage points",0.15,0.21,-0.23,0.39,0.31
 "48000","Texas",6,SAGDP11N,71,"621","    Ambulatory health care services ","Percentage points",0.11,0.16,-0.18,0.32,0.18
 "48000","Texas",6,SAGDP11N,72,"622","    Hospitals ","Percentage points",0.02,0.03,0.00,0.04,0.07
 "48000","Texas",6,SAGDP11N,73,"623","    Nursing and residential care facilities ","Percentage points",0.01,0.00,-0.02,0.01,0.02
 "48000","Texas",6,SAGDP11N,74,"624","    Social assistance ","Percentage points",0.01,0.02,-0.03,0.02,0.04
 "48000","Texas",6,SAGDP11N,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Percentage points",-0.03,0.12,-0.83,0.62,0.26
 "48000","Texas",6,SAGDP11N,76,"71","   Arts, entertainment, and recreation ","Percentage points",0.03,0.03,-0.24,0.08,0.06
 "48000","Texas",6,SAGDP11N,77,"711-712","    Performing arts, spectator sports, museums, and related activities ","Percentage points",0.02,0.03,-0.17,0.02,0.03
 "48000","Texas",6,SAGDP11N,78,"713","    Amusement, gambling, and recreation industries ","Percentage points",0.01,0.00,-0.07,0.06,0.02
 "48000","Texas",6,SAGDP11N,79,"72","   Accommodation and food services ","Percentage points",-0.05,0.09,-0.59,0.54,0.21
 "48000","Texas",6,SAGDP11N,80,"721","    Accommodation ","Percentage points",-0.05,0.07,-0.13,0.17,0.06
 "48000","Texas",6,SAGDP11N,81,"722","    Food services and drinking places ","Percentage points",-0.01,0.02,-0.46,0.37,0.15
 "48000","Texas",6,SAGDP11N,82,"81","  Other services (except government and government enterprises) ","Percentage points",0.07,0.05,-0.21,0.09,0.10
 "48000","Texas",6,SAGDP11N,83,"92"," Government and government enterprises ","Percentage points",0.05,0.02,0.13,0.11,0.19
 "48000","Texas",6,SAGDP11N,84,"...","  Federal civilian ","Percentage points",0.03,0.02,0.10,0.01,-0.04
 "48000","Texas",6,SAGDP11N,85,"...","  Military ","Percentage points",-0.04,0.00,0.01,0.02,-0.03
 "48000","Texas",6,SAGDP11N,86,"...","  State and local ","Percentage points",0.06,0.00,0.01,0.08,0.26
 "48000","Texas",6,SAGDP11N,87,"11,21","Natural resources and mining ","Percentage points",0.57,1.54,-0.25,-1.28,-1.14
 "48000","Texas",6,SAGDP11N,88,"42,44-45","Trade ","Percentage points",0.46,0.19,0.18,-0.03,-0.05
 "48000","Texas",6,SAGDP11N,89,"22,48-49","Transportation and utilities ","Percentage points",0.14,-0.02,-0.40,0.56,0.21
 "48000","Texas",6,SAGDP11N,90,"31-33,51","Manufacturing and information ","Percentage points",1.67,-0.52,-0.88,1.56,0.68
 "48000","Texas",6,SAGDP11N,91,"...","Private goods-producing industries 2/","Percentage points",1.97,0.81,-1.43,-0.24,-1.24
 "48000","Texas",6,SAGDP11N,92,"...","Private services-providing industries 3/","Percentage points",2.74,2.39,-0.40,5.84,3.75
"Note: See the included footnote file."
"SAGDP11N: Contributions to percent change in real GDP 1/"
"Last updated: September 29, 2023-- revised statistics for 2017-2022."
"U.S. Bureau of Economic Analysis"
